Red,"Red",#e62020,230,32,32
Blue,"Blue",#00f,0,0,255
ultramarine_blue,"Blue",#4166f5,65,102,245
medium_slate_blue,"Blue",#7b68ee,123,104,238
ceil,"Blue",#92a1cf,146,161,207
palatinate_blue,"Blue",#273be2,39,59,226
Green,"Green",#b2ec5d,178,236,93
screamin_green,"Green",#76ff7a,118,255,122
hansa_yellow,"Hansa Yellow",#e9d66b,233,214,107
white,"White",#fff,255,255,255
davy_s_grey,"Davy'S Grey",#555,85,85,85
laurel_green,"Laurel Green",#a9ba9d,169,186,157
sand,"Sand",#c2b280,194,178,128
smoky_black,"Smoky Black",#100c08,16,12,8
light_taupe,"Light Taupe",#b38b6d,179,139,109
flax,"Flax",#eedc82,238,220,130
wenge,"Wenge",#645452,100,84,82
